protein,breast_MDAMB231,colon_HCT116,ewingsarcoma_CHLA10,ewingsarcoma_TC32,melanoma_A375,melanoma_HS895T,melanoma_SH4,ovary_patientsample,prostate_PC3
Q16222,1,0,0,1,0,1,0,1,0
Q16576,1,1,0,0,0,0,1,1,0
Q16630,0,1,0,1,1,0,0,1,0
Q16650,1,0,1,1,0,0,0,1,0
Q32MZ4,0,0,0,1,0,1,1,1,0
Q3YEC7,0,1,1,1,0,0,0,1,0
Q53FA7,0,1,0,0,1,1,0,1,0
Q6P1N9,0,0,0,1,0,0,1,1,1
Q6PKG0,0,0,1,1,0,0,1,1,0
Q7KZ85,0,1,0,1,0,1,0,1,0
Q7L014,0,1,1,1,0,0,0,1,0
Q8IZ83,1,1,0,1,0,0,0,1,0
Q8N3X1,0,1,0,0,0,1,1,1,0
Q8N8S7,0,1,0,0,1,0,1,1,0
Q8TBC4,0,1,0,1,1,0,0,1,0
Q8WXF1,1,1,0,1,0,0,0,1,0
Q96C19,0,1,0,0,1,0,1,1,0
Q96FJ2,1,1,0,0,0,1,0,1,0
Q96MT7,1,0,1,1,0,0,0,1,0
Q99426,1,0,0,1,0,1,0,1,0
Q99598,0,1,0,0,0,0,1,1,1
Q99873,1,1,0,1,0,0,0,1,0
Q99996,0,0,1,1,0,0,1,1,0
Q9BY32,0,0,0,1,1,0,1,1,0
Q9H0D6,0,1,1,1,0,0,0,1,0
Q9H2J4,0,0,1,1,0,1,0,1,0
Q9H832,1,1,0,1,0,0,0,1,0
Q9NTJ3,1,1,0,1,0,0,0,1,0
Q9NX55,0,0,1,1,1,0,0,1,0
Q9NXG2,0,1,0,1,1,0,0,1,0
Q9NYL9,1,1,0,1,0,0,0,1,0
Q9P0K7,1,0,1,0,0,0,1,1,0
Q9P225,0,1,1,0,0,0,1,1,0
Q9P2J5,1,1,0,1,0,0,0,1,0
Q9UBZ9,0,0,1,1,1,0,0,1,0
Q9UIA9,0,1,1,1,0,0,0,1,0
Q9UPT8,0,0,1,1,0,0,1,1,0
Q9UQE7,0,1,1,1,0,0,0,1,0
Q9Y224,1,1,0,1,0,0,0,1,0
Q9Y262,1,1,0,1,0,0,0,1,0
Q9Y285,1,1,0,1,0,0,0,1,0
Q9Y333,1,1,0,0,0,0,1,1,0
Q9Y3I0,1,1,0,1,0,0,0,1,0
Q9Y3U8,0,1,0,1,1,0,0,1,0
Q9Y6E2,0,1,1,1,0,0,0,1,0
A0AVT1,0,1,0,1,0,0,0,1,0
